Timestamp ,X ,Y ,Z
1675285746.2615974 ,[0.0347613] ,[0.43870571] ,[0.08396528]
1675285746.2837503 ,[0.03451792] ,[0.44068808] ,[0.08433471]
1675285746.3023221 ,[0.03469057] ,[0.44715329] ,[0.08432108]
1675285746.321486 ,[0.03482869] ,[0.45232471] ,[0.08430854]
1675285746.344715 ,[0.03487615] ,[0.44682779] ,[0.08405851]
1675285746.3673232 ,[0.03460989] ,[0.44721672] ,[0.08428558]
1675285746.3876274 ,[0.03439693] ,[0.44752782] ,[0.08449479]
1675285746.4086933 ,[0.0345938] ,[0.45259117] ,[0.08460199]
1675285746.4278526 ,[0.03438411] ,[0.45182694] ,[0.08478627]
1675285746.4475217 ,[0.03421639] ,[0.45121555] ,[0.08495605]
1675285746.4690545 ,[0.03475421] ,[0.45085651] ,[0.08457394]
1675285746.4900908 ,[0.03518441] ,[0.45056925] ,[0.08422193]
1675285746.510526 ,[0.03522376] ,[0.45502254] ,[0.08435051]
1675285746.53236 ,[0.03488815] ,[0.45377159] ,[0.08455442]
1675285746.5574648 ,[0.0346197] ,[0.45277084] ,[0.08474228]
1675285746.577639 ,[0.03470904] ,[0.44715463] ,[0.08459479]
1675285746.597152 ,[0.0348435] ,[0.45228983] ,[0.08469403]
1675285746.6171257 ,[0.03495106] ,[0.45639736] ,[0.08478547]
1675285746.6377504 ,[0.03497413] ,[0.45002407] ,[0.08477056]
1675285746.6574254 ,[0.03499259] ,[0.44499051] ,[0.08448514]
1675285746.6756673 ,[0.03500735] ,[0.44096424] ,[0.08422219]
1675285746.6951053 ,[0.03508214] ,[0.44730489] ,[0.08448364]
1675285746.7151113 ,[0.03514196] ,[0.45237677] ,[0.08472453]
1675285746.7344065 ,[0.03512685] ,[0.44687347] ,[0.08444294]
1675285746.7526166 ,[0.03481084] ,[0.44728428] ,[0.08450499]
1675285746.7728999 ,[0.03455806] ,[0.4476129] ,[0.08456216]
1675285746.790837 ,[0.03465979] ,[0.44303097] ,[0.08442917]
1675285746.8098857 ,[0.03474116] ,[0.43936596] ,[0.08430665]
1675285746.8306139 ,[0.03450239] ,[0.44127881] ,[0.0843794]
1675285746.8503377 ,[0.03431141] ,[0.44280903] ,[0.08444643]
1675285746.8686981 ,[0.03452545] ,[0.4487787] ,[0.08468998]
1675285746.8874493 ,[0.0343299] ,[0.44871395] ,[0.08513511]
1675285746.9073613 ,[0.0341735] ,[0.44866214] ,[0.08554522]
1675285746.9269118 ,[0.03375087] ,[0.45339592] ,[0.08596779]
1675285746.9468577 ,[0.03341283] ,[0.45718239] ,[0.0863571]
1675285746.9652658 ,[0.03411112] ,[0.45556419] ,[0.08613481]
1675285746.985447 ,[0.03466971] ,[0.45426964] ,[0.08592999]
1675285747.0044603 ,[0.03444546] ,[0.45320053] ,[0.08587524]
1675285747.0246735 ,[0.03493714] ,[0.45241093] ,[0.08555686]
1675285747.044065 ,[0.03533045] ,[0.45177923] ,[0.08526353]
1675285747.0622692 ,[0.03527778] ,[0.44643124] ,[0.08480514]
1675285747.0813239 ,[0.03523564] ,[0.44215335] ,[0.08438282]
1675285747.0998166 ,[0.03520193] ,[0.43869895] ,[0.08412905]
1675285747.1199324 ,[0.03487129] ,[0.4406503] ,[0.08461746]
1675285747.1411352 ,[0.03460681] ,[0.44221134] ,[0.08506745]
1675285747.159841 ,[0.03446372] ,[0.45294147] ,[0.08543938]
1675285747.1790192 ,[0.03434927] ,[0.46152456] ,[0.08578205]
1675285747.1980927 ,[0.03418928] ,[0.45890944] ,[0.08614042]
1675285747.2176754 ,[0.03406132] ,[0.45681737] ,[0.08647059]
1675285747.2357848 ,[0.03432549] ,[0.4600117] ,[0.08642225]
1675285747.2544355 ,[0.03417032] ,[0.45779336] ,[0.08632885]
1675285747.274667 ,[0.03404622] ,[0.45601871] ,[0.08624279]
1675285747.294013 ,[0.03394698] ,[0.45453576] ,[0.08643094]
1675285747.3136 ,[0.03386761] ,[0.4533494] ,[0.08660429]
1675285747.333661 ,[0.03410769] ,[0.44765663] ,[0.08617664]
1675285747.3534672 ,[0.03429976] ,[0.44310289] ,[0.08578262]
1675285747.3730597 ,[0.03445341] ,[0.43949289] ,[0.08528454]
1675285747.3912926 ,[0.03457633] ,[0.43654047] ,[0.08509567]
1675285747.410209 ,[0.03467467] ,[0.43417897] ,[0.08492166]
1675285747.430196 ,[0.03444984] ,[0.43709681] ,[0.08507968]
1675285747.4512594 ,[0.03427001] ,[0.43943103] ,[0.08522527]
1675285747.471529 ,[0.03412617] ,[0.44133009] ,[0.08522585]
1675285747.4924588 ,[0.03468158] ,[0.44294737] ,[0.08482587]
1675285747.512915 ,[0.03512587] ,[0.44424115] ,[0.08445735]
1675285747.5334516 ,[0.03511431] ,[0.44030849] ,[0.08446851]
1675285747.5546176 ,[0.03510507] ,[0.43716278] ,[0.0844788]
1675285747.5759451 ,[0.03479424] ,[0.43951588] ,[0.08453798]
1675285747.597193 ,[0.03521595] ,[0.44146394] ,[0.08432569]
1675285747.6193485 ,[0.03555329] ,[0.44302234] ,[0.0841301]
1675285747.639838 ,[0.03545623] ,[0.43936667] ,[0.08403215]
1675285747.6610644 ,[0.03537858] ,[0.43644255] ,[0.08394192]
1675285747.6831102 ,[0.0353793] ,[0.4436783] ,[0.08422395]
1675285747.7036452 ,[0.03501367] ,[0.44469664] ,[0.08443651]
1675285747.7254126 ,[0.0347212] ,[0.44551129] ,[0.08463236]
1675285747.7436662 ,[0.03515743] ,[0.44629272] ,[0.08427958]
1675285747.764884 ,[0.03483622] ,[0.4468198] ,[0.08435439]
1675285747.7863972 ,[0.03457928] ,[0.44724143] ,[0.08442333]
1675285747.8048198 ,[0.03444213] ,[0.45692417] ,[0.08497484]
1675285747.8240108 ,[0.03426406] ,[0.45529264] ,[0.08512835]
1675285747.8419058 ,[0.03412163] ,[0.45398739] ,[0.08526979]
1675285747.8613427 ,[0.03400771] ,[0.45294319] ,[0.08540011]
1675285747.8807948 ,[0.0339166] ,[0.45210781] ,[0.08552019]
1675285747.8994083 ,[0.03414702] ,[0.44666865] ,[0.08517881]
